t,|i=1,IO:EXT,IOPL:EXT,OQ:2,OQ:3,OO:2,OO:3,IS:2,IS:3,ISPL:2,ISPL:3,RM:2,RM:3,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=2,IO:1,IOPL:1,OQ:5,OO:5,IS:5,ISPL:5,RM:5,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC,|i=3,IO:1,IOPL:1,OQ:4,OO:4,IS:4,ISPL:4,RM:4,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC,|i=4,IO:3,IOPL:3,OQ:6,OQ:7,OO:6,OO:7,IS:6,IS:7,ISPL:6,ISPL:7,RM:6,RM:7,OS:3,DMFS,FR,IL,HC,SC,ITHC,TC,|i=5,IO:2,IOPL:2,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=6,IO:4,IOPL:4,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:4,DMFS,FR,IL,HC,SC,ITHC,TC,|i=7,IO:4,IOPL:4,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:4,DMFS,FR,IL,HC,SC,ITHC,TC
0,|,1,[0],0.0,0.0,0.0,0.0,0,0,"[0, 0.0, 0]","[0, 0.0, 0]",0,0,1,1.0,1.0,7,0,0,0.0,0.0,|,0.0,[0],4,4,0,"[0, 4, 0]",0,0.0,0.0,1.0,8.0,0.0,0,0.0,0.0,|,0.0,[0],3,3,0,"[0, 0, 0, 3, 0, 0, 0]",0,0.0,0.0,1.0,24.0,0.0,0,0.0,0.0,|,3,[0],0.0,0.0,0.0,0.0,0,0,"[0, 0, 0.0, 0, 0]","[0, 0, 0.0, 0, 0]",0,0,3,3.0,1.0,13,0,0,0,0,|,4,[0],0.0,0.0,0,"[0, 0, 0, 0, 0.0, 0, 0, 0, 0]",0,4,4.0,1.0,28,0,0,0,0,|,0.0,[0],8,8,0,"[0, 8, 0]",0,0.0,0.0,1.0,8.0,0.0,0,0.0,0.0,|,0.0,[0],11,11,0,"[0, 0, 11, 0, 0]",0,0.0,0.0,1.0,16.0,0.0,0,0.0,0.0
1,|,6,[0],0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0.0, 0]","[0, 0.0, 0]",0.0,0.0,6,6.0,1.0,1.0,0.0,0,0.0,0.0,|,0.0,[0],1.0,1.0,4,"[0, 1.0, 0]",0,0.0,0.0,1.0,12.0,0.0,0,0.0,0.0,|,0.0,[0],1.0,4.0,0,"[0, 0, 3, 1.0, 0, 0, 0]",0,0.0,0.0,1.0,24.0,0.0,0,0.0,0.0,|,1.0,[0],0.0,0.0,0.0,0.0,0,0,"[0, 0.0, 0.0, 0, 0]","[0, 0.0, 0.0, 0, 0]",0,0,1.0,1.0,1.0,12.0,0.0,0,0.0,0.0,|,1.0,[0],0.0,0.0,0,"[0, 0, 0, 0.0, 0.0, 0, 0, 0, 0]",0,1.0,1.0,1.0,27.0,0.0,0,0.0,0.0,|,0.0,[0],2.0,2.0,8,"[0, 2.0, 0]",0,0.0,0.0,1.0,16.0,0.0,0,0.0,0.0,|,0.0,[0],1.0,12.0,0,"[0, 11, 1.0, 0, 0]",0,0.0,0.0,1.0,16.0,0.0,0,0.0,0.0
2,|,6,[0],5.0,5.0,5.0,5.0,0.0,0.0,"[0, 5.0, 0]","[0, 5.0, 0]",0.0,0.0,1.0,1.0,0.6153846153846154,-5.0,0.0,0.0,0.0,0.0,|,5.0,[0],6.0,6.0,1.0,"[0, 6.0, 0]",0.0,5.0,5.0,1.0,8.0,0.0,0,0.0,0.0,|,5.0,[0],6.0,10.0,0,"[0, 3, 1.0, 6.0, 0, 0, 0]",0,5.0,5.0,1.0,19.0,0.0,0,0.0,0.0,|,6.0,[0],4.0,4.0,4.0,4.0,0.0,0.0,"[0, 0.0, 4.0, 0, 0]","[0, 0.0, 4.0, 0, 0]",0.0,0.0,6.0,6.0,1.0,6.0,0.0,0,0.0,0.0,|,6.0,[0],4.0,4.0,0,"[0, 0, 0.0, 0.0, 4.0, 0, 0, 0, 0]",0,6.0,6.0,1.0,21.0,0.0,0,0.0,0.0,|,4.0,[0],0.0,0.0,2.0,"[0, 0.0, 0]",0.0,4.0,4.0,1.0,14.0,0.0,0,0.0,0.0,|,4.0,[0],6.0,7.0,11,"[0, 1.0, 6.0, 0, 0]",0,4.0,4.0,1.0,23.0,0.0,0,0.0,0.0
3,|,9,[0],6.0,6.0,6.0,6.0,5.0,5.0,"[0, 6.0, 0]","[0, 6.0, 0]",0.0,0.0,5.0,0.0,0.36363636363636365,-9.0,0.0,0.0,0.0,0.0,|,6.0,[0],6.0,6.0,6.0,"[0, 6.0, 0]",0.0,6.0,6.0,1.0,8.0,0.0,0,0.0,0.0,|,6.0,[0],6.0,13.0,3,"[0, 1.0, 6.0, 6.0, 0, 0, 0]",0,6.0,6.0,1.0,16.0,0.0,0,0.0,0.0,|,6.0,[0],6.0,6.0,10.0,10.0,0.0,0.0,"[0, 4.0, 6.0, 0, 0]","[0, 4.0, 6.0, 0, 0]",0.0,0.0,6.0,6.0,1.0,0.0,0.0,0,0.0,0.0,|,6.0,[0],6.0,10.0,0,"[0, 0.0, 0.0, 4.0, 6.0, 0, 0, 0, 0]",0,6.0,6.0,1.0,15.0,0.0,0,0.0,0.0,|,6.0,[0],12.0,12.0,0.0,"[0, 12.0, 0]",0.0,6.0,6.0,1.0,8.0,0.0,0,0.0,0.0,|,6.0,[0],6.0,12.0,1.0,"[0, 6.0, 6.0, 0, 0]",0.0,6.0,6.0,1.0,18.0,0.0,0,0.0,0.0
4,|,0,[0],8.0,8.0,8.0,8.0,6.0,6.0,"[0, 8.0, 0]","[0, 8.0, 0]",0.0,0.0,6.0,0.0,0.36363636363636365,-3.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,6.0,"[0, 8.0, 0]",0.0,8.0,8.0,1.0,6.0,0.0,0,0.0,0.0,|,8.0,[0],0.0,12.0,1.0,"[0, 6.0, 6.0, 0.0, 0, 0, 0]",0.0,8.0,8.0,1.0,9.0,0.0,0,0.0,0.0,|,0.0,[0],8.0,8.0,14.0,14.0,4.0,4.0,"[0, 6.0, 8.0, 0, 0]","[0, 6.0, 8.0, 0, 0]",0.0,0.0,0.0,0.0,1.0,4.0,0.0,0,0.0,0.0,|,8.0,[0],8.0,18.0,0.0,"[0, 0.0, 4.0, 6.0, 8.0, 0, 0, 0, 0]",0.0,8.0,8.0,1.0,7.0,0.0,0,0.0,0.0,|,8.0,[0],4.0,4.0,12.0,"[0, 4.0, 0]",0.0,8.0,8.0,1.0,12.0,0.0,0,0.0,0.0,|,8.0,[0],9.0,15.0,6.0,"[0, 6.0, 9.0, 0, 0]",0.0,8.0,8.0,1.0,16.0,0.0,0,0.0,0.0
5,|,6,[0],1.0,1.0,1.0,1.0,8.0,8.0,"[0, 1.0, 0]","[0, 1.0, 0]",0.0,0.0,8.0,5.0,0.4642857142857143,-1.0,0.0,0.0,0.0,0.0,|,1.0,[0],1.0,1.0,8.0,"[0, 1.0, 0]",0.0,1.0,1.0,1.0,13.0,0.0,0,0.0,0.0,|,1.0,[0],4.0,10.0,6.0,"[0, 6.0, 0.0, 4.0, 0, 0, 0]",0.0,1.0,1.0,1.0,14.0,0.0,0,0.0,0.0,|,4.0,[0],1.0,1.0,9.0,9.0,6.0,6.0,"[0, 8.0, 1.0, 0, 0]","[0, 8.0, 1.0, 0, 0]",0.0,0.0,4.0,4.0,1.0,6.0,0.0,0,0.0,0.0,|,1.0,[0],1.0,19.0,0.0,"[0, 4.0, 6.0, 8.0, 1.0, 0, 0, 0, 0]",0.0,1.0,1.0,1.0,6.0,0.0,0,0.0,0.0,|,1.0,[0],5.0,5.0,4.0,"[0, 5.0, 0]",0.0,1.0,1.0,1.0,15.0,0.0,0,0.0,0.0,|,1.0,[0],0.0,9.0,6.0,"[0, 9.0, 0.0, 0, 0]",0.0,1.0,1.0,1.0,21.0,0.0,0,0.0,0.0
6,|,4,[0],6.0,6.0,6.0,6.0,1.0,1.0,"[0, 6.0, 0]","[0, 6.0, 0]",0.0,0.0,1.0,0.0,0.40625,-4.0,0.0,0.0,0.0,0.0,|,6.0,[0],0.0,0.0,1.0,"[0, 0.0, 0]",0.0,6.0,6.0,1.0,8.0,0.0,0,0.0,0.0,|,6.0,[0],6.0,10.0,6.0,"[0, 0.0, 4.0, 6.0, 0, 0, 0]",0.0,6.0,6.0,1.0,14.0,0.0,0,0.0,0.0,|,6.0,[0],2.0,2.0,3.0,3.0,8.0,8.0,"[0, 1.0, 2.0, 0, 0]","[0, 1.0, 2.0, 0, 0]",0.0,0.0,6.0,6.0,1.0,8.0,0.0,0,0.0,0.0,|,0.0,[0],6.0,21.0,4.0,"[0, 6.0, 8.0, 1.0, 6.0, 0, 0, 0, 0]",0.0,0.0,0.0,1.0,10.0,0.0,0,0.0,0.0,|,2.0,[0],1.0,1.0,5.0,"[0, 1.0, 0]",0.0,2.0,2.0,1.0,18.0,0.0,0,0.0,0.0,|,2.0,[0],6.0,6.0,9.0,"[0, 0.0, 6.0, 0, 0]",0.0,2.0,2.0,1.0,28.0,0.0,0,0.0,0.0
7,|,7,[0],4.0,4.0,4.0,4.0,6.0,6.0,"[0, 4.0, 0]","[0, 4.0, 0]",0.0,0.0,6.0,2.0,0.38461538461538464,-5.0,0.0,0.0,0.0,0.0,|,4.0,[0],10.0,10.0,0.0,"[0, 10.0, 0]",0.0,4.0,4.0,1.0,4.0,0.0,0,0.0,0.0,|,4.0,[0],8.0,18.0,0.0,"[0, 4.0, 6.0, 8.0, 0, 0, 0]",0.0,4.0,4.0,1.0,10.0,0.0,0,0.0,0.0,|,8.0,[0],2.0,2.0,4.0,4.0,1.0,1.0,"[0, 2.0, 2.0, 0, 0]","[0, 2.0, 2.0, 0, 0]",0.0,0.0,8.0,8.0,1.0,1.0,0.0,0,0.0,0.0,|,10.0,[0],4.0,19.0,6.0,"[0, 8.0, 1.0, 6.0, 4.0, 0, 0, 0, 0]",0.0,10.0,10.0,1.0,6.0,0.0,0,0.0,0.0,|,2.0,[0],9.0,9.0,1.0,"[0, 9.0, 0]",0.0,2.0,2.0,1.0,17.0,0.0,0,0.0,0.0,|,2.0,[0],4.0,10.0,0.0,"[0, 6.0, 4.0, 0, 0]",0.0,2.0,2.0,1.0,26.0,0.0,0,0.0,0.0
8,|,4,[0],4.0,4.0,4.0,4.0,4.0,4.0,"[0, 4.0, 0]","[0, 4.0, 0]",0.0,0.0,4.0,0.0,0.3488372093023256,-5.0,0.0,0.0,0.0,0.0,|,4.0,[0],2.0,2.0,10.0,"[0, 2.0, 0]",0.0,4.0,4.0,1.0,10.0,0.0,0,0.0,0.0,|,4.0,[0],1.0,15.0,4.0,"[0, 6.0, 8.0, 1.0, 0, 0, 0]",0.0,4.0,4.0,1.0,10.0,0.0,0,0.0,0.0,|,1.0,[0],5.0,5.0,7.0,7.0,2.0,2.0,"[0, 2.0, 5.0, 0, 0]","[0, 2.0, 5.0, 0, 0]",0.0,0.0,1.0,1.0,1.0,2.0,0.0,0,0.0,0.0,|,2.0,[0],7.0,18.0,8.0,"[0, 1.0, 6.0, 4.0, 7.0, 0, 0, 0, 0]",0.0,2.0,2.0,1.0,12.0,0.0,0,0.0,0.0,|,5.0,[0],4.0,4.0,9.0,"[0, 4.0, 0]",0.0,5.0,5.0,1.0,21.0,0.0,0,0.0,0.0,|,5.0,[0],7.0,11.0,6.0,"[0, 4.0, 7.0, 0, 0]",0.0,5.0,5.0,1.0,27.0,0.0,0,0.0,0.0
9,|,7,[0],7.0,7.0,7.0,7.0,4.0,4.0,"[0, 7.0, 0]","[0, 7.0, 0]",0.0,0.0,4.0,0.0,0.3,-8.0,0.0,0.0,0.0,0.0,|,7.0,[0],6.0,6.0,2.0,"[0, 6.0, 0]",0.0,7.0,7.0,1.0,5.0,0.0,0,0.0,0.0,|,7.0,[0],2.0,11.0,6.0,"[0, 8.0, 1.0, 2.0, 0, 0, 0]",0.0,7.0,7.0,1.0,9.0,0.0,0,0.0,0.0,|,2.0,[0],11.0,11.0,16.0,16.0,2.0,2.0,"[0, 5.0, 11.0, 0, 0]","[0, 5.0, 11.0, 0, 0]",0.0,0.0,2.0,2.0,1.0,2.0,0.0,0,0.0,0.0,|,6.0,[0],4.0,21.0,1.0,"[0, 6.0, 4.0, 7.0, 4.0, 0, 0, 0, 0]",0.0,6.0,6.0,1.0,7.0,0.0,0,0.0,0.0,|,11.0,[0],7.0,7.0,4.0,"[0, 7.0, 0]",0.0,11.0,11.0,1.0,14.0,0.0,0,0.0,0.0,|,11.0,[0],4.0,11.0,4.0,"[0, 7.0, 4.0, 0, 0]",0.0,11.0,11.0,1.0,20.0,0.0,0,0.0,0.0
10,|,1,[0],5.0,5.0,5.0,5.0,7.0,7.0,"[0, 5.0, 0]","[0, 5.0, 0]",0.0,0.0,7.0,0.0,0.29411764705882354,-2.0,0.0,0.0,0.0,0.0,|,5.0,[0],0.0,0.0,6.0,"[0, 0.0, 0]",0.0,5.0,5.0,1.0,6.0,0.0,0,0.0,0.0,|,5.0,[0],2.0,5.0,8.0,"[0, 1.0, 2.0, 2.0, 0, 0, 0]",0.0,5.0,5.0,1.0,12.0,0.0,0,0.0,0.0,|,2.0,[0],2.0,2.0,13.0,13.0,5.0,5.0,"[0, 11.0, 2.0, 0, 0]","[0, 11.0, 2.0, 0, 0]",0.0,0.0,2.0,2.0,1.0,5.0,0.0,0,0.0,0.0,|,0.0,[0],7.0,22.0,6.0,"[0, 4.0, 7.0, 4.0, 7.0, 0, 0, 0, 0]",0.0,0.0,0.0,1.0,13.0,0.0,0,0.0,0.0,|,2.0,[0],3.0,3.0,7.0,"[0, 3.0, 0]",0.0,2.0,2.0,1.0,19.0,0.0,0,0.0,0.0,|,2.0,[0],7.0,11.0,7.0,"[0, 4.0, 7.0, 0, 0]",0.0,2.0,2.0,1.0,25.0,0.0,0,0.0,0.0
11,|,1,[0],3.0,3.0,3.0,3.0,5.0,5.0,"[0, 3.0, 0]","[0, 3.0, 0]",0.0,0.0,3.0,1.0,0.3076923076923077,2.0,0.0,0,0.0,0.0,|,3.0,[0],8.0,8.0,0.0,"[0, 8.0, 0]",0.0,3.0,3.0,1.0,3.0,0.0,0,0.0,0.0,|,3.0,[0],5.0,9.0,1.0,"[0, 2.0, 2.0, 5.0, 0, 0, 0]",0.0,3.0,3.0,1.0,10.0,0.0,0,0.0,0.0,|,5.0,[0],3.0,3.0,5.0,5.0,11.0,11.0,"[0, 2.0, 3.0, 0, 0]","[0, 2.0, 3.0, 0, 0]",0.0,0.0,5.0,5.0,1.0,11.0,0.0,0,0.0,0.0,|,8.0,[0],1.0,19.0,4.0,"[0, 7.0, 4.0, 7.0, 1.0, 0, 0, 0, 0]",0.0,8.0,8.0,1.0,9.0,0.0,0,0.0,0.0,|,3.0,[0],5.0,5.0,3.0,"[0, 5.0, 0]",0.0,3.0,3.0,1.0,19.0,0.0,0,0.0,0.0,|,3.0,[0],1.0,8.0,4.0,"[0, 7.0, 1.0, 0, 0]",0.0,3.0,3.0,1.0,26.0,0.0,0,0.0,0.0
12,|,9,[0],1.0,1.0,1.0,1.0,3.0,3.0,"[0, 1.0, 0]","[0, 1.0, 0]",0.0,0.0,5.0,5.0,0.3442622950819672,-4.0,0.0,0.0,0.0,0.0,|,1.0,[0],1.0,1.0,8.0,"[0, 1.0, 0]",0.0,1.0,1.0,1.0,10.0,0.0,0,0.0,0.0,|,1.0,[0],11.0,18.0,2.0,"[0, 2.0, 5.0, 11.0, 0, 0, 0]",0.0,1.0,1.0,1.0,11.0,0.0,0,0.0,0.0,|,11.0,[0],0.0,0.0,3.0,3.0,2.0,2.0,"[0, 3.0, 0.0, 0, 0]","[0, 3.0, 0.0, 0, 0]",0.0,0.0,11.0,11.0,1.0,2.0,0.0,0,0.0,0.0,|,1.0,[0],1.0,13.0,7.0,"[0, 4.0, 7.0, 1.0, 1.0, 0, 0, 0, 0]",0.0,1.0,1.0,1.0,15.0,0.0,0,0.0,0.0,|,0.0,[0],1.0,1.0,5.0,"[0, 1.0, 0]",0.0,0.0,0.0,1.0,24.0,0.0,0,0.0,0.0,|,0.0,[0],1.0,2.0,7.0,"[0, 1.0, 1.0, 0, 0]",0.0,0.0,0.0,1.0,33.0,0.0,0,0.0,0.0
13,|,8,[0],9.0,9.0,9.0,9.0,1.0,1.0,"[0, 9.0, 0]","[0, 9.0, 0]",0.0,0.0,1.0,0.0,0.30434782608695654,-11.0,0.0,0.0,0.0,0.0,|,9.0,[0],5.0,5.0,1.0,"[0, 5.0, 0]",0.0,9.0,9.0,1.0,2.0,0.0,0,0.0,0.0,|,9.0,[0],2.0,18.0,2.0,"[0, 5.0, 11.0, 2.0, 0, 0, 0]",0.0,9.0,9.0,1.0,4.0,0.0,0,0.0,0.0,|,2.0,[0],10.0,10.0,10.0,10.0,3.0,3.0,"[0, 0.0, 10.0, 0, 0]","[0, 0.0, 10.0, 0, 0]",0.0,0.0,2.0,2.0,1.0,3.0,0.0,0,0.0,0.0,|,5.0,[0],9.0,18.0,4.0,"[0, 7.0, 1.0, 1.0, 9.0, 0, 0, 0, 0]",0.0,5.0,5.0,1.0,14.0,0.0,0,0.0,0.0,|,10.0,[0],9.0,9.0,1.0,"[0, 9.0, 0]",0.0,10.0,10.0,1.0,15.0,0.0,0,0.0,0.0,|,10.0,[0],9.0,10.0,1.0,"[0, 1.0, 9.0, 0, 0]",0.0,10.0,10.0,1.0,24.0,0.0,0,0.0,0.0
14,|,10,[0],2.0,2.0,2.0,2.0,9.0,9.0,"[0, 2.0, 0]","[0, 2.0, 0]",0.0,0.0,9.0,0.0,0.26582278481012656,-12.0,0.0,0.0,0.0,0.0,|,2.0,[0],8.0,8.0,5.0,"[0, 8.0, 0]",0.0,2.0,2.0,1.0,5.0,0.0,0,0.0,0.0,|,2.0,[0],3.0,16.0,5.0,"[0, 11.0, 2.0, 3.0, 0, 0, 0]",0.0,2.0,2.0,1.0,7.0,0.0,0,0.0,0.0,|,3.0,[0],5.0,5.0,15.0,15.0,0.0,0.0,"[0, 10.0, 5.0, 0, 0]","[0, 10.0, 5.0, 0, 0]",0.0,0.0,3.0,3.0,1.0,0.0,0.0,0,0.0,0.0,|,8.0,[0],8.0,19.0,7.0,"[0, 1.0, 1.0, 9.0, 8.0, 0, 0, 0, 0]",0.0,8.0,8.0,1.0,13.0,0.0,0,0.0,0.0,|,5.0,[0],8.0,8.0,9.0,"[0, 8.0, 0]",0.0,5.0,5.0,1.0,19.0,0.0,0,0.0,0.0,|,5.0,[0],8.0,17.0,1.0,"[0, 9.0, 8.0, 0, 0]",0.0,5.0,5.0,1.0,20.0,0.0,0,0.0,0.0
15,|,2,[0],5.0,5.0,5.0,5.0,2.0,2.0,"[0, 5.0, 0]","[0, 5.0, 0]",0.0,0.0,2.0,0.0,0.25925925925925924,-12.0,0.0,0.0,0.0,0.0,|,5.0,[0],0.0,0.0,8.0,"[0, 0.0, 0]",0.0,5.0,5.0,1.0,8.0,0.0,0,0.0,0.0,|,5.0,[0],0.0,5.0,11.0,"[0, 2.0, 3.0, 0.0, 0, 0, 0]",0.0,5.0,5.0,1.0,13.0,0.0,0,0.0,0.0,|,0.0,[0],16.0,16.0,21.0,21.0,10.0,10.0,"[0, 5.0, 16.0, 0, 0]","[0, 5.0, 16.0, 0, 0]",0.0,0.0,0.0,0.0,1.0,10.0,0.0,0,0.0,0.0,|,0.0,[0],10.0,28.0,1.0,"[0, 1.0, 9.0, 8.0, 10.0, 0, 0, 0, 0]",0.0,0.0,0.0,1.0,14.0,0.0,0,0.0,0.0,|,16.0,[0],1.0,1.0,8.0,"[0, 1.0, 0]",0.0,16.0,16.0,1.0,11.0,0.0,0,0.0,0.0,|,16.0,[0],10.0,18.0,9.0,"[0, 8.0, 10.0, 0, 0]",0.0,16.0,16.0,1.0,13.0,0.0,0,0.0,0.0
16,|,3,[0],8.0,8.0,8.0,8.0,5.0,5.0,"[0, 8.0, 0]","[0, 8.0, 0]",0.0,0.0,5.0,0.0,0.25,-10.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,0.0,"[0, 8.0, 0]",0.0,8.0,8.0,1.0,0.0,0.0,0,0.0,0.0,|,8.0,[0],10.0,13.0,2.0,"[0, 3.0, 0.0, 10.0, 0, 0, 0]",0.0,8.0,8.0,1.0,7.0,0.0,0,0.0,0.0,|,10.0,[0],2.0,2.0,18.0,18.0,5.0,5.0,"[0, 16.0, 2.0, 0, 0]","[0, 16.0, 2.0, 0, 0]",0.0,0.0,10.0,10.0,1.0,5.0,0.0,0,0.0,0.0,|,8.0,[0],2.0,29.0,1.0,"[0, 9.0, 8.0, 10.0, 2.0, 0, 0, 0, 0]",0.0,8.0,8.0,1.0,7.0,0.0,0,0.0,0.0,|,2.0,[0],11.0,11.0,1.0,"[0, 11.0, 0]",0.0,2.0,2.0,1.0,10.0,0.0,0,0.0,0.0,|,2.0,[0],2.0,12.0,8.0,"[0, 10.0, 2.0, 0, 0]",0.0,2.0,2.0,1.0,19.0,0.0,0,0.0,0.0
17,|,6,[0],0.0,0.0,0.0,0.0,8.0,8.0,"[0, 0.0, 0]","[0, 0.0, 0]",0.0,0.0,8.0,0.0,0.23333333333333334,-8.0,0.0,0.0,0.0,0.0,|,0.0,[0],0.0,0.0,8.0,"[0, 0.0, 0]",0.0,0.0,0.0,1.0,8.0,0.0,0,0.0,0.0,|,0.0,[0],5.0,15.0,3.0,"[0, 0.0, 10.0, 5.0, 0, 0, 0]",0.0,0.0,0.0,1.0,10.0,0.0,0,0.0,0.0,|,5.0,[0],0.0,0.0,2.0,2.0,16.0,16.0,"[0, 2.0, 0.0, 0, 0]","[0, 2.0, 0.0, 0, 0]",0.0,0.0,5.0,5.0,1.0,16.0,0.0,0,0.0,0.0,|,0.0,[0],3.0,23.0,9.0,"[0, 8.0, 10.0, 2.0, 3.0, 0, 0, 0, 0]",0.0,0.0,0.0,1.0,16.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,0.0,11.0,"[0, 0.0, 0]",0.0,0.0,0.0,1.0,21.0,0.0,0,0.0,0.0,|,0.0,[0],3.0,5.0,10.0,"[0, 2.0, 3.0, 0, 0]",0.0,0.0,0.0,1.0,29.0,0.0,0,0.0,0.0
18,|,6,[0],8.0,8.0,8.0,8.0,0.0,0.0,"[0, 8.0, 0]","[0, 8.0, 0]",0.0,0.0,0.0,0.0,0.21875,-14.0,0.0,0.0,0.0,0.0,|,8.0,[0],12.0,12.0,0.0,"[0, 12.0, 0]",0.0,8.0,8.0,1.0,0.0,0.0,0,0.0,0.0,|,8.0,[0],16.0,31.0,0.0,"[0, 10.0, 5.0, 16.0, 0, 0, 0]",0.0,8.0,8.0,1.0,2.0,0.0,0,0.0,0.0,|,16.0,[0],2.0,2.0,2.0,2.0,2.0,2.0,"[0, 0.0, 2.0, 0, 0]","[0, 0.0, 2.0, 0, 0]",0.0,0.0,16.0,16.0,1.0,2.0,0.0,0,0.0,0.0,|,12.0,[0],6.0,21.0,8.0,"[0, 10.0, 2.0, 3.0, 6.0, 0, 0, 0, 0]",0.0,12.0,12.0,1.0,12.0,0.0,0,0.0,0.0,|,2.0,[0],9.0,9.0,0.0,"[0, 9.0, 0]",0.0,2.0,2.0,1.0,19.0,0.0,0,0.0,0.0,|,2.0,[0],6.0,9.0,2.0,"[0, 3.0, 6.0, 0, 0]",0.0,2.0,2.0,1.0,29.0,0.0,0,0.0,0.0
